name,hourly rate,title,location
Caroline Mwikali M.,"$6.00
/hr",Data Entry/Analyst Expert,Kenya
Deo D.,"$30.00
/hr",Business Analyst|Data Scientist,Indonesia
Vishal P.,"$10.00
/hr",Data Analyst | Scientist | Web Scraping,India
Olushayo S.,"$45.00
/hr",GIS Analyst I Data Analyst I Cartographer,United States
Mariene Carol A.,"$8.00
/hr","Data Analyst, Data Management Specialist, & Virtual Assistant",Philippines
Jheremie C.,"$5.00
/hr",Data Analyst,Philippines
Padma D.,"$5.00
/hr",Data analyst/ specialist,Philippines
Elizabeth J.,"$75.00
/hr",Statistical Data Analyst and Data Visualization Expert,United States
Sergey S.,"$50.00
/hr","Excel Expert, VBA Programmer and Data Analyst",Ukraine
Noel Ranada Ong J.,"$6.00
/hr",Data Analyst / Data Entry / Virtual Assistant / Internet Researcher,Philippines
Nate L.,"$100.00
/hr",Data Visualization/Data Warehouse Analyst,United States
Veliyan D.,"$42.00
/hr",Google Analytics Certified Analyst | Google Tag Manager Expert,Bulgaria
Jacqueline D.,"$125.00
/hr",CPA | Data Analyst & Visualization Expert,United States
Aditya P.,"$45.00
/hr",5+ Years of Expertise in Google data studio,India
Hoang T.,"$85.00
/hr",Excel Automation and Financial Analyst | Startup Financial Consultant,Canada
Ganapathy S.,"$150.00
/hr",Data Visualization and Relational Analytics Expert,Canada
Jheremie C.,"$5.00
/hr",Data Analyst,Philippines
Anastasiia K.,"$5.00
/hr",Business Analyst,Ukraine
Charmie Ann N.,"$4.40
/hr",Data Analyst,Philippines
Melody G.,"$5.00
/hr",Application Analyst,Philippines
Rumila B.,"$3.89
/hr",Web researcher & Data Analyst..,India
Dimitri P.,"$40.00
/hr",Data Scientist & Analyst,United Kingdom
Amber G.,"$70.00
/hr",Data Analyst/R Programmer,United States
Nalin V.,"$45.00
/hr",Data Analyst and Programmer,United States
Michael S.,"$50.00
/hr",Data and BI analyst,South Africa
David H.,"$65.00
/hr",Data Analyst and Developer,United States
Andrey A.,"$40.00
/hr","Economist, Excel Data Analyst",Russia
John B.,"$65.00
/hr",Senior Business/Data Analyst,United States
Spyros M.,"$85.00
/hr",Power BI Developer | Data Analyst - Scientist,Greece
Joe M.,"$45.00
/hr",Sr Business Intelligence Analyst for part time work,United States
Diego W.,"$90.00
/hr",Data Analyst with Mixpanel Experience,United States
Piyumi v.,"$8.90
/hr",Data Analyst and Content Associate,Sri Lanka
Bill T.,"$31.00
/hr",Data Analyst,United States
Sammy Boy Abarquez J.,"$5.00
/hr",Costumer Service,Philippines
Jason G.,"$7.00
/hr",Reports Analyst / Recruiter / Customer Service,Philippines
Karl Lorenzo Noel D.,"$7.00
/hr",Technical Support | Data Analyst and Research | Content Moderator,Philippines
Renz T.,"$10.00
/hr","Technical Analyst, Customer Support, Professional Services",Philippines
S KALYAN C.,"$30.00
/hr",Tableau Certified | Google Data Studio Certified | Power BI Expert,India
Oana-Patricia T.,"$20.00
/hr",ESG/Sustainability analyst,Germany
Mary Jane Q.,"$5.00
/hr",Quality/Data Analyst,Philippines
Daniel O.,"$15.00
/hr",Data Analyst Specialist,Kenya
T.N. T.,"$10.00
/hr",Data Entry Analyst,India
James Carlo C.,"$20.00
/hr",Data Reporting Analyst,Philippines
Madhur M.,"$60.00
/hr",Sr Business analyst,India
John Byron O.,"$10.00
/hr",Expert Data Analyst,Kenya
Samuel W.,"$25.00
/hr",Data Analyst/ Statistician,Kenya
Muhammad S.,"$25.00
/hr",Application Consultant/Business Analyst/Business Systems Analyst,Pakistan
Jill P.,"$15.00
/hr","Mozenda & Visual Web Ripper Expert, Data Entry, Data Analyst",Philippines
Sharon E.,"$6.25
/hr",13 years as US Real Estate Searcher/Title Searcher/Data Analyst,Philippines
Rodelia C.,"$8.00
/hr",Data Entry Specialist|Analyst|Verifier|Typist|Lead Gen|Image Scraping,Philippines
Siddhant M.,"$45.00
/hr",Data Analyst || BI Consultant || Google Data Studio Specialist,India
Yangyang D.,"$70.00
/hr",Senior Statistician,United States
Eliot A.,"$45.00
/hr",Consultant | Political Analyst | Data Analyst | Translator,United States
Mahender Kumar P.,"$55.00
/hr","Financial Analyst, Financial Modeler, Data Analyst, Real Estate Models",India
Hadi S.,"$75.00
/hr","Klipfolio Expert, System Analyst, BI Consultant, Power BI, Qlikview",Canada
Christelle R.,"$10.00
/hr",Data Analyst | Dashboard Creator | Data Visualization | Excel Expert,Philippines
Francis Jay T.,"$5.00
/hr",Web Development ~ Graphics Design ~ Data Analyst ~ Data Entry,Philippines
Vikash R.,"$43.50
/hr",Excel Automation & Visualization|Excel VBA|Power BI Expert|VA,India
Umesh L.,"$3.00
/hr",Analyst,India
Atif K.,"$12.00
/hr",Web Researcher | Data Analyst | Scrapper | Lead Generation | Python,Pakistan
Shady S.,"$25.00
/hr",Data Analyst and Customer Insight Expert,Egypt
Amiel T.,"$12.00
/hr",Content Moderator . Data Analyst . Customer Support,Philippines
Jayant S.,"$25.00
/hr",Business Analyst | Product Owner(CSPO) | Data Analyst | Content Writer,India
shalin s.,"$15.00
/hr",Business Analyst | Excel VBA Automation,India
Justas B.,"$30.00
/hr",Data Analyst,Lithuania
Rubal B.,"$12.00
/hr",Data Analyst,India
Hakan U.,"$12.50
/hr",Data Analyst,Hungary
Simona R.,"$12.00
/hr",data analyst,Serbia
Niall M.,"$15.00
/hr",Quantitative Analyst,Ireland
Ma Diana Kris B.,"$5.00
/hr",Quality Analyst,Philippines
Yaroslav S.,"$10.00
/hr",Data Analyst,Belarus
James M.,"$50.00
/hr",Data Analyst,United States
Muhammad O.,"$10.00
/hr",Data Analyst,Pakistan
Lin W.,"$55.00
/hr",Data Analyst,United States
Kashif Ali K.,"$45.00
/hr",Business Analyst,India
Danushka S.,"$15.00
/hr",Data Analyst,Sri Lanka
Joan S.,"$5.00
/hr",Data Analyst,Philippines
Levi Jan T.,"$10.00
/hr",Business Analyst,Philippines
James B.,"$75.00
/hr",Financial Analyst,United States
Dominik G.,"$20.00
/hr",GIS Analyst,Poland
Evaldas K.,"$10.00
/hr",Data Analyst,Lithuania
priya l.,"$10.00
/hr",Financial Analyst,Pakistan
Syed M. Farhan G.,"$5.00
/hr",Data Analyst,Pakistan
Maksim S.,"$50.00
/hr",Data analyst,Russia
Niharika M.,"$15.00
/hr",Data Analyst,India
Alexander S.,"$22.00
/hr",Analyst/Researcher,United States
Sumit M.,"$75.00
/hr",Data Analyst and Visualization Expert,United States
Kayla B.,"$100.00
/hr",Business Analyst/Tableau Excel Expert,United States
Taek Jin C.,"$75.00
/hr",Data Analyst and Problem Solver,United States
Meredith H.,"$50.00
/hr",Data Analyst and Business Consultant,United States
Deependra Kumar V.,"$6.00
/hr",Data Analyst/Virtual Assistant,Nepal
Vijai R.,"$3.00
/hr","Web Researcher & Data Analyst , XML Executive",India
Hassan K.,"$50.00
/hr","Data Analyst: Expert in tools like STATA, R, R Shiny, Excel, Power BI",United Kingdom
Jerusalem B.,"$4.50
/hr",Detail-Oriented Analyst,Philippines
Seema T.,"$15.00
/hr",Excel Expert Data Analyst and VBA Developer,India
Jhon Riel G.,"$6.50
/hr",Data Entry Professional / Data Analyst / Data Mining,Philippines
GINA SAN D.,"$4.00
/hr",Determined and committed data entry analyst/specialist.,Philippines
Jan Karla T.,"$5.00
/hr",Research Data Analyst,Philippines
Rajeev G.,"$19.00
/hr","Automation (RPA) Expert (UiPath, AA and BP certified)",India
Katie K.,"$90.00
/hr","Mathematician, Data Scientist and Analyst",United States
Adrian M.,"$15.00
/hr",Data engineer,Costa Rica
Volodymyr S.,"$35.00
/hr","Google Analytics | Funnel Analytics, Optimization & Reporting expert",Ukraine
Joseph E.,"$5.99
/hr","Working as analyst, excel jobs using advanced formulas/images editing",Philippines
